"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 18 06:18:34 GMT 2023","Thu May 18 06:18:34 GMT 2023","42","tests.customer","test_customer","TestCustomerWithoutSectionParam","","","test_POST_returns400AndError[User.FACILITY_ADMIN]",""
"passed","Thu May 18 06:18:32 GMT 2023","Thu May 18 06:18:32 GMT 2023","170","tests.customer","test_customer","TestCreateCustomer","","","test_createCustomer_withExistingNameAndBarcode_returns400AndError[User.SUPERUSER-existing_data2-error2]",""
"passed","Thu May 18 06:19:49 GMT 2023","Thu May 18 06:19:50 GMT 2023","1155","tests.user","test_users","TestCreateUser","","","test_createUserByFacilityAdmin_withValidData_returns201AndData[User.FACILITY_ADMIN]",""
"passed","Thu May 18 06:19:15 GMT 2023","Thu May 18 06:19:15 GMT 2023","345","tests.order","test_order","TestDeleteOrder","","","test_deleteOrder_withValidID_returns204[User.SUPERUSER]",""
"passed","Thu May 18 06:18:51 GMT 2023","Thu May 18 06:18:51 GMT 2023","56","tests.facility","test_facility","TestDeleteFacility","","","test_deleteFacility_byInvalidID_returns404AndError[User.SUPERUSER]",""
"passed","Thu May 18 06:19:16 GMT 2023","Thu May 18 06:19:17 GMT 2023","356","tests.staging","test_staging","TestGetOrders","","","test_getOrders_forFacilityWithExistingOrder_returns200AndData[User.SUPERUSER]",""
"broken","Thu May 18 06:19:34 GMT 2023","Thu May 18 06:19:35 GMT 2023","895","tests.staging","test_staging","TestSubmitAction","","","test_submitAction_withLongDisneyOrderID_returns400AndError[User.SUPERUSER]",""
"passed","Thu May 18 06:18:51 GMT 2023","Thu May 18 06:18:51 GMT 2023","12","tests.facility","test_facility","TestFacilityAuth","","","test_getCustomer_unauthRequest_returns400AndError[User.NONE]",""
"passed","Thu May 18 06:19:54 GMT 2023","Thu May 18 06:19:56 GMT 2023","1553","tests.user","test_users","TestDeleteUser","","","test_deleteRoleBySuperuser_withValidID_returns204[User.SUPERUSER]",""
"passed","Thu May 18 06:18:52 GMT 2023","Thu May 18 06:18:52 GMT 2023","218","tests.facility","test_truck","TestCreateTruck","","","test_createTruck_withValidData_returns201AndData[User.SUPERUSER]",""
"passed","Thu May 18 06:19:18 GMT 2023","Thu May 18 06:19:24 GMT 2023","5751","tests.staging","test_staging","TestAssignMetro","","","test_assignMetro_withMetroWithoutCartBuild_returns400AndError[User.SUPERUSER]",""
"passed","Thu May 18 06:19:44 GMT 2023","Thu May 18 06:19:45 GMT 2023","57","tests.user","test_role","TestDeleteRole","","","test_deleteRoleBySuperuser_withInvalidID_returns404AndError[User.SUPERUSER]",""
"passed","Thu May 18 06:18:39 GMT 2023","Thu May 18 06:18:39 GMT 2023","353","tests.customer","test_delivery_schedule","TestDeleteDeliverySchedule","","","test_deleteDeliverySchedule_withValidID_returns204[User.SUPERUSER]",""
"passed","Thu May 18 06:19:08 GMT 2023","Thu May 18 06:19:10 GMT 2023","1597","tests.order","test_driver_assignment","TestGetTruckOrdersAndDrivers","","","test_getTruckOrdersAndDrivers_withNoAssignedOrders_returns200AndData[User.SUPERUSER]",""
"passed","Thu May 18 06:19:47 GMT 2023","Thu May 18 06:19:47 GMT 2023","364","tests.user","test_token","TestRefreshToken","","","test_getNewAccessToken_withValidRefreshToken_returns200AndTokens[User.NONE-User.SUPERUSER]",""
